title,acronym,ordinal,city,country,startDate,endDate,year,wikiCfpid,dblpid,seriesTitle,url,describedAtUrl
"8th International Conference on Information Systems for Crisis Response and Management, Lisbon, Portugal, May, 2011",ISCRAM 2011,8.0,Lisbon,Portugal,,,,,,International Conference on Information Systems for Crisis Response and Management,http://www.wikidata.org/entity/Q106336912,https://dblp.org/db/conf/iscram/iscram2011.html
"Light up the Ideas of Environmental Informatics: 26th International Conference on Informatics for Environmental Protection, EnviroInfo 2012, Dessau, Germany, August 29-31, 2012",EnviroInfo 2012,26.0,,Germany,2012-08-29,2012-08-31,2012.0,,,International Conference on Informatics and Semiotics in Organisations,http://www.wikidata.org/entity/Q106336750,https://dblp.org/db/conf/enviroinfo/enviroinfo2012.html
"2017 International Conference on High Performance Computing & Simulation, HPCS 2017, Genoa, Italy, July 17-21, 2017",HPCS 2017,15.0,Genoa,Italy,2017-07-17,2017-07-21,2017.0,,,International Conference on High Performance Computing & Simulation,http://www.wikidata.org/entity/Q106336581,https://dblp.org/db/conf/ieeehpcs/ieeehpcs2017.html
"9th International Conference on Future Generation Communication and Networking, FGCN 2015, Jeju Island, South Korea, November 25-28, 2015",FGCN 2015,9.0,,South Korea,2015-11-25,2015-11-28,2015.0,,,International Conference on Future Generation Communication and Networking,http://www.wikidata.org/entity/Q106336504,https://dblp.org/db/conf/fgcn/fgcn2015.html
"2012 International Conference on High Performance Computing & Simulation, HPCS 2012, Madrid, Spain, July 2-6, 2012",HPCS 2012,10.0,Madrid,Spain,2012-07-02,2012-07-06,2012.0,,,International Conference on High Performance Computing & Simulation,http://www.wikidata.org/entity/Q106336584,https://dblp.org/db/conf/ieeehpcs/ieeehpcs2012.html
"Information Systems Security, Second International Conference, ICISS 2006, Kolkata, India, December 19-21, 2006",ICISS 2006,2.0,,India,2006-12-19,2006-12-21,2006.0,,,International Conference on Information Systems Security,http://www.wikidata.org/entity/Q106336902,https://dblp.org/db/conf/iciss/iciss2006.html
"14th International Conference on ITS Telecommunications, ITST 2015, Copenhagen, Denmark, December 2-4, 2015",ITST 2015,14.0,Copenhagen,United States of America,2015-12-02,2015-12-04,2015.0,,,International Conference on ITS Telecommunications,http://www.wikidata.org/entity/Q106336730,https://dblp.org/db/conf/itst/itst2015.html
"7th International Conference on Future Internet of Things and Cloud, FiCloud 2019, Istanbul, Turkey, August 26-28, 2019",FiCloud 2019,7.0,Istanbul,Turkey,2019-08-26,2019-08-28,2019.0,,,International Conference on Future Internet of Things and Cloud,http://www.wikidata.org/entity/Q106336506,https://dblp.org/db/conf/ficloud/ficloud2019.html
"2008 International Conference on Information Networking, ICOIN 2008, Busan, Korea, January 23-25, 2008",ICOIN 2008,22.0,Busan,South Korea,2008-01-23,2008-01-25,2008.0,,,International Conference on Information Networking,http://www.wikidata.org/entity/Q106336779,https://dblp.org/db/conf/icoin/icoin2008.html
"18th International Conference on Information Visualisation, IV 2014, Paris, France, July 16-18, 2014",IV 2014,18.0,Paris,France,2014-07-16,2014-07-18,2014.0,,,International Conference on Information Visualisation,http://www.wikidata.org/entity/Q106336935,https://dblp.org/db/conf/iv/iv2014.html
"IEEE International Conference on Information and Automation, ICIA 2016, Ningbo, China, August 1-3, 2016",ICIA 2016,,,People's Republic of China,2016-08-01,2016-08-03,2016.0,,,International Conference on Information and Automation,http://www.wikidata.org/entity/Q106336948,https://dblp.org/db/conf/icinfa/icinfa2016.html
"2015 International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2015, Amsterdam, Netherlands, October 4-9, 2015",CODES+ISSS 2015,,Amsterdam,Kingdom of the Netherlands,2015-10-04,2015-10-09,2015.0,,,International Conference on Hardware/Software Codesign and System Synthesis,http://www.wikidata.org/entity/Q106336563,https://dblp.org/db/conf/codes/codes2015.html
"Information Systems Security - 6th International Conference, ICISS 2010, Gandhinagar, India, December 17-19, 2010",ICISS 2010,6.0,,India,2010-12-17,2010-12-19,2010.0,,,International Conference on Information Systems Security,http://www.wikidata.org/entity/Q106336900,https://dblp.org/db/conf/iciss/iciss2010.html
"2016 International Conference on Information Technology, ICIT 2016, Bhubaneswar, India, December 22-24, 2016",ICIT 2016,,Bhubaneswar,India,2016-12-22,2016-12-24,2016.0,,,International Conference on Information Technology (India),http://www.wikidata.org/entity/Q106336915,https://dblp.org/db/conf/cit/cit2016.html
"2018 International Conference on High Performance Computing & Simulation, HPCS 2018, Orleans, France, July 16-20, 2018",HPCS 2018,16.0,,France,2018-07-16,2018-07-20,2018.0,,,International Conference on High Performance Computing & Simulation,http://www.wikidata.org/entity/Q106336579,https://dblp.org/db/conf/ieeehpcs/ieeehpcs2018.html
"International Conference on Information Visualisation, IV 1998, London, England, UK, July 29-31, 1998",IV 1998,2.0,London,United Kingdom,1998-07-29,1998-07-31,1998.0,,,International Conference on Information Visualisation,http://www.wikidata.org/entity/Q106336941,https://dblp.org/db/conf/iv/iv1998.html
"International Conference on Information Visualisation, IV 2002, London, England, UK, July 10-12, 2002",IV 2002,6.0,London,United Kingdom,2002-07-10,2002-07-12,2002.0,,,International Conference on Information Visualisation,http://www.wikidata.org/entity/Q106336939,https://dblp.org/db/conf/iv/iv2002.html
"2015 International Conference on Image Processing Theory, Tools and Applications, IPTA 2015, Orleans, France, November 10-13, 2015",IPTA 2015,5.0,,France,2015-11-10,2015-11-13,2015.0,,,International Conference on Image Processing Theory Tools and Applications,http://www.wikidata.org/entity/Q106336739,https://dblp.org/db/conf/ipta/ipta2015.html
"12th International Conference on Human System Interaction, HSI 2019, Richmond, VA, USA, June 25-27, 2019",HSI 2019,12.0,,United States of America,2019-06-25,2019-06-27,2019.0,,,International Conference on Human System Interaction,http://www.wikidata.org/entity/Q106336703,https://dblp.org/db/conf/hsi/hsi2019.html
"Fuzzy Systems and Knowledge Discovery, Second International Conference, FSKD 2005, Changsha, China, August 27-29, 2005",FSKD 2005,2.0,,People's Republic of China,2005-08-27,2005-08-29,2005.0,,,International Conference on Fuzzy Systems and Knowledge Discovery,http://www.wikidata.org/entity/Q106336517,https://dblp.org/db/conf/fskd/fskd2005-1.html
"2015 International Conference on Information Technology Based Higher Education and Training, ITHET 2015, Lisbon, Portugal, June 11-13, 2015",ITHET 2015,14.0,Lisbon,Portugal,2015-06-11,2015-06-13,2015.0,,,International Conference on Information Technology Based Higher Education and Training,http://www.wikidata.org/entity/Q106336923,https://dblp.org/db/conf/ithet/ithet2015.html
"6th International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2008, Atlanta, GA, USA, October 19-24, 2008",CODES+ISSS 2008,6.0,Atlanta,United States of America,2008-10-19,2008-10-24,2008.0,,,International Conference on Hardware/Software Codesign and System Synthesis,http://www.wikidata.org/entity/Q106336573,https://dblp.org/db/conf/codes/codes2008.html
"International Conference on Future Networks and Distributed Systems, ICFNDS 2017, Cambridge, United Kingdom, July 19-20, 2017",ICFNDS 2017,,,United Kingdom,2017-07-19,2017-07-20,2017.0,,,International Conference on Future Networks and Distributed Systems,http://www.wikidata.org/entity/Q106336512,https://dblp.org/db/conf/icfnds/icfnds2017.html
"2012 Sixth International Conference on Genetic and Evolutionary Computing, ICGEC 2012, Kitakyushu, Japan, August 25-28, 2012",ICGEC 2012,6.0,,Japan,2012-08-25,2012-08-28,2012.0,,,International Conference on Genetic and Evolutionary Computing,http://www.wikidata.org/entity/Q106336537,https://dblp.org/db/conf/icgec/icgec2012.html
"2017 International Conference on Indoor Positioning and Indoor Navigation, IPIN 2017, Sapporo, Japan, September 18-21, 2017",IPIN 2017,,Sapporo,Japan,2017-09-18,2017-09-21,2017.0,,,International Conference on Indoor Positioning and Indoor Navigation,http://www.wikidata.org/entity/Q106336744,https://dblp.org/db/conf/ipin/ipin2017.html
"CONF-IRM 2012, The International Conference on Information Resources Management: Information Systems and Accountability in a Digital World, Vienna, Austria, May 21-23, 2012",CONF-IRM 2012,,Vienna,Austria,2012-05-21,2012-05-23,2012.0,,,International Conference on Information Resources Management,http://www.wikidata.org/entity/Q106336787,https://dblp.org/db/conf/conf-irm/conf-irm2012.html
"5th International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2007, Salzburg, Austria, September 30 - October 3, 2007",CODES+ISSS 2007,5.0,,Austria,2007-09-30,2007-10-03,2007.0,,,International Conference on Hardware/Software Codesign and System Synthesis,http://www.wikidata.org/entity/Q106336575,https://dblp.org/db/conf/codes/codes2007.html
"Generative Programming and Component Engineering, 7th International Conference, GPCE 2008, Nashville, TN, USA, October 19-23, 2008",GPCE 2008,7.0,,United States of America,2008-10-19,2008-10-23,2008.0,,,International Conference on Generative Programming: Concepts and Experiences,http://www.wikidata.org/entity/Q106336531,https://dblp.org/db/conf/gpce/gpce2008.html
"Green Energy and Networking - 7th EAI International Conference, GreeNets 2020, Harbin, China, June 27-28, 2020",GreeNets 2020,7.0,,People's Republic of China,2020-06-27,2020-06-28,2020.0,,,International Conference on Green Communications and Networking,http://www.wikidata.org/entity/Q106336554,https://dblp.org/db/conf/greenets/greenets2020.html
"8th International Conference on Information Management and Engineering, ICIME 2016, Istanbul, Turkey, November 2-5, 2016",ICIME 2016,8.0,Istanbul,Turkey,2016-11-02,2016-11-05,2016.0,,,International Conference on Information Management and Engineering,http://www.wikidata.org/entity/Q106336773,https://dblp.org/db/conf/icime/icime2016.html
"16th IEEE International Conference on High Performance Switching and Routing, HPSR 2015, Budapest, Hungary, July 1-4, 2015",HPSR 2015,16.0,Pest,Hungary,2015-07-01,2015-07-04,2015.0,,,International Conference on High Performance Switching and Routing,http://www.wikidata.org/entity/Q106336591,https://dblp.org/db/conf/hpsr/hpsr2015.html
"Information Interaction in Context: 2012, IIix'12, Nijmegen, The Netherlands, August 21-24, 2012",IIiX 2012,4.0,,Kingdom of the Netherlands,2012-08-21,2012-08-24,2012.0,,,International Conference on Information Interaction in Context,http://www.wikidata.org/entity/Q106336771,https://dblp.org/db/conf/iiix/iiix2012.html
"International Conference on High Performance Computing & Simulation, HPCS 2014, Bologna, Italy, 21-25 July, 2014",HPCS 2014,12.0,Bologna,Italy,2014-07-21,2014-07-25,2014.0,,,International Conference on High Performance Computing & Simulation,http://www.wikidata.org/entity/Q106336583,https://dblp.org/db/conf/hpcs/hpcs2014.html
"13th International Conference on ITS Telecommunications, ITST 2013, Tampere, Finland, November 5-7, 2013",ITST 2013,13.0,Tampere,Finland,2013-11-05,2013-11-07,2013.0,,,International Conference on ITS Telecommunications,http://www.wikidata.org/entity/Q106336732,https://dblp.org/db/conf/itst/itst2013.html
"SIGGRAPH Asia 2020 Emerging Technologies, SA 2020, Virtual Event, Republic of Korea, December 4-13, 2020",SA 2020,13.0,,South Korea,2020-12-04,2020-12-13,2020.0,,,ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia,http://www.wikidata.org/entity/Q106330323,https://dblp.org/db/conf/siggrapha/siggrapha2020emerging.html
"Biannual conference of the Italian chapter of SIGCHI, CHItaly '13, Trento, Italy - September 16 - 20, 2013",CHItaly 2013,10.0,Trento,Italy,2013-09-16,2013-09-20,2013.0,,,ACM SIGCHI Italian Chapter International Conference on Computer-Human Interaction,http://www.wikidata.org/entity/Q106330320,https://dblp.org/db/conf/chitaly/chitaly2013.html
"14th Annual International Conference of Computer Documentation: Marshalling New Technological Forces - Building a Corporate, Academic, and User-Oriented Triangle, SIGDOC 1996, Research Triangle Park, NC, USA, October 20-23, 1996",SIGDOC 1996,14.0,,United States of America,1996-10-20,1996-10-23,1996.0,,,ACM International Conference on Design of Communication,http://www.wikidata.org/entity/Q106330310,https://dblp.org/db/conf/sigdoc/sigdoc1996.html
"SIGSOFT'90 4th Symposium on Software Development Environments, Irvine, CA, USA, December 3-5, 1990",SDE 1990,4.0,,United States of America,1990-12-03,1990-12-05,1990.0,,,ACM SIGSOFT/SIGPLAN Software Engineering Symposium on Practical Software Development Environments,http://www.wikidata.org/entity/Q106330409,https://dblp.org/db/conf/sde/sde1990.html
"Trust Management III, Third IFIP WG 11.11 International Conference, IFIPTM 2009 , West Lafayette, IN, USA, June 15-19, 2009",IFIPTM 2009,3.0,,United States of America,2009-06-15,2009-06-19,2009.0,,,IFIP International Conference on Trust Management,http://www.wikidata.org/entity/Q106243877,https://dblp.org/db/conf/ifiptm/ifiptm2009.html
"Trust Management X - 10th IFIP WG 11.11 International Conference, IFIPTM 2016, Darmstadt, Germany, July 18-22, 2016",IFIPTM 2016,10.0,Darmstadt,Germany,2016-07-18,2016-07-22,2016.0,,,IFIP International Conference on Trust Management,http://www.wikidata.org/entity/Q106243873,https://dblp.org/db/conf/ifiptm/ifiptm2016.html
"1986 IEEE Symposium on Security and Privacy, Oakland, California, USA, April 7-9, 1986",S&P 1986,7.0,Oakland,United States of America,1986-04-07,1986-04-09,1986.0,,,IEEE Symposium on Security and Privacy,http://www.wikidata.org/entity/Q106243836,https://dblp.org/db/conf/sp/sp1986.html
"Advances in Web-Age Information Management, Second International Conference, WAIM 2001, Xi'an, China, July 9-11, 2001",WAIM 2001,2.0,Xi'an,People's Republic of China,2001-07-09,2001-07-11,2001.0,,,Interational Conference on Web-Age Information Management,http://www.wikidata.org/entity/Q106244001,https://dblp.org/db/conf/waim/waim2001.html
"2016 IEEE Real-Time Systems Symposium, RTSS 2016, Porto, Portugal, November 29 - December 2, 2016",RTSS 2016,37.0,Porto,Portugal,2016-11-29,2016-12-02,2016.0,,,IEEE Real-Time Systems Symposium,http://www.wikidata.org/entity/Q106243830,https://dblp.org/db/conf/rtss/rtss2016.html
"Intelligent Technologies for Interactive Entertainment, First International Conference, INTETAIN 2005, Madonna di Campiglio, Italy, November 30 - December 2, 2005",INTETAIN 2005,1.0,,Italy,2005-11-30,2005-12-02,2005.0,,,Intelligent Technologies for Interactive Entertainment,http://www.wikidata.org/entity/Q106243993,https://dblp.org/db/conf/intetain/intetain2005.html
"Information Security Practice and Experience, Second International Conference, ISPEC 2006, Hangzhou, China, April 11-14, 2006",ISPEC 2006,2.0,Hangzhou,People's Republic of China,2006-04-11,2006-04-14,2006.0,,,Information Security Practice and Experience,http://www.wikidata.org/entity/Q106243954,https://dblp.org/db/conf/ispec/ispec2006.html
"Entertainment Computing - ICEC 2008, 7th International Conference, Pittsburgh, PA, USA, September 25-27, 2008",ICEC 2008,7.0,Pittsburgh,United States of America,2008-09-25,2008-09-27,2008.0,,,IFIP International Conference on Entertainment Computing,http://www.wikidata.org/entity/Q106243863,https://dblp.org/db/conf/iwec/icec2008.html
"Advances in Speech and Language Technologies for Iberian Languages - Second International Conference, IberSPEECH 2014, Las Palmas de Gran Canaria, Spain, November 19-21, 2014",IberSPEECH 2014,2.0,,Spain,2014-11-19,2014-11-21,2014.0,,,IberSPEECH Conference,http://www.wikidata.org/entity/Q106243916,https://dblp.org/db/conf/iberspeech/iberspeech2014.html
"Tests and Proofs - 1st International Conference, TAP 2007, Zurich, Switzerland, February 12-13, 2007",TAP 2007,1.0,Zürich,Switzerland,2007-02-12,2007-02-13,2007.0,,,International Conference of Tests and Proofs,http://www.wikidata.org/entity/Q106244024,https://dblp.org/db/conf/tap/tap2007.html
"ISSE 2010 - Securing Electronic Business Processes, Highlights of the Information Security Solutions Europe 2010 Conference, Berlin, Germany, October 5-7, 2010",ISSE 2010,12.0,Berlin,Germany,2010-10-05,2010-10-07,2010.0,,,Information Security Solutions Europe,http://www.wikidata.org/entity/Q106243957,https://dblp.org/db/conf/isse/isse2010.html
"Information Security - 18th International Conference, ISC 2015, Trondheim, Norway, September 9-11, 2015",ISC 2015,18.0,,Norway,2015-09-09,2015-09-11,2015.0,,,Information Security Conference,http://www.wikidata.org/entity/Q106243942,https://dblp.org/db/conf/isw/isc2015.html
"Tests and Proofs - 5th International Conference, TAP@TOOLS 2011, Zurich, Switzerland, June 30 - July 1, 2011",TAP@TOOLS 2011,5.0,Zürich,Switzerland,2011-06-30,2011-07-01,2011.0,,,International Conference of Tests and Proofs,http://www.wikidata.org/entity/Q106244022,https://dblp.org/db/conf/tap/tap2011.html
"ISSE 2004 - Securing Electronic Business Processes, Highlights of the Information Security Solutions Europe 2004 Conference, Berlin, Germany, September 28-30, 2004",ISSE 2004,6.0,Berlin,Germany,2004-09-28,2004-09-30,2004.0,,,Information Security Solutions Europe,http://www.wikidata.org/entity/Q106243958,https://dblp.org/db/conf/isse/isse2004.html
"Network and Parallel Computing - 10th IFIP International Conference, NPC 2013, Guiyang, China, September 19-21, 2013",NPC 2013,10.0,,People's Republic of China,2013-09-19,2013-09-21,2013.0,,,IFIP International Conference on Network and Parallel Computing,http://www.wikidata.org/entity/Q106243869,https://dblp.org/db/conf/npc/npc2013.html
"Component Deployment, Second International Working Conference, CD 2004, Edinburgh, UK, May 20-21, 2004",CD 2004,2.0,Edinburgh,United Kingdom,2004-05-20,2004-05-21,2004.0,,,IFIP/ACM Working Conference on Component Deployment,http://www.wikidata.org/entity/Q106243911,https://dblp.org/db/conf/cd/cd2004.html
"PICS 2002: IS&T's PICS Conference, An International Technical Conference on Digital Image Capture and Associated System, Reproduction and Image Quality Technologies, April 2002, Portland, Oregon, USA",PICS 2002,55.0,Portland,United States of America,,,,,,"Image Processing, Image Quality, Image Capture Systems Conference",http://www.wikidata.org/entity/Q106243922,https://dblp.org/db/conf/pics/pics2002.html
"5th IIAI International Congress on Advanced Applied Informatics, IIAI-AAI 2016, Kumamoto, Japan, July 10-14, 2016",IIAI-AAI 2016,5.0,,Japan,2016-07-10,2016-07-14,2016.0,,,IIAI International Conference on Advanced Applied Informatics,http://www.wikidata.org/entity/Q106243912,https://dblp.org/db/conf/iiaiaai/iiaiaai2016.html
"2017 IEEE Real-Time Systems Symposium, RTSS 2017, Paris, France, December 5-8, 2017",RTSS 2017,38.0,Paris,France,2017-12-05,2017-12-08,2017.0,,,IEEE Real-Time Systems Symposium,http://www.wikidata.org/entity/Q106243829,https://dblp.org/db/conf/rtss/rtss2017.html
"Fourth Annual Z User Meeting, Oxford, UK, December 15, 1989",Z User Workshop 1989,4.0,Oxford,United Kingdom,,,,,,"International Conference on Abstract State Machines, Alloy, B, TLA, VDM, and Z",http://www.wikidata.org/entity/Q106244034,https://dblp.org/db/conf/zum/zum1989.html
"Entertainment Computing - ICEC 2015 - 14th International Conference, ICEC 2015, Trondheim, Norway, September 29 - October 2, 2015",ICEC 2015,14.0,,Norway,2015-09-29,2015-10-02,2015.0,,,IFIP International Conference on Entertainment Computing,http://www.wikidata.org/entity/Q106243859,https://dblp.org/db/conf/iwec/icec2015.html
"Intelligent Technologies for Interactive Entertainment - 10th EAI International Conference, INTETAIN 2018, Guimarães, Portugal, November 21-23, 2018",INTETAIN 2018,10.0,,Portugal,2018-11-21,2018-11-23,2018.0,,,Intelligent Technologies for Interactive Entertainment,http://www.wikidata.org/entity/Q106243990,https://dblp.org/db/conf/intetain/intetain2018.html
"Tests and Proofs - 11th International Conference, TAP@STAF 2017, Marburg, Germany, July 19-20, 2017",TAP@STAF 2017,11.0,,Germany,2017-07-19,2017-07-20,2017.0,,,International Conference of Tests and Proofs,http://www.wikidata.org/entity/Q106244020,https://dblp.org/db/conf/tap/tap2017.html
"35th International Conference on Image and Vision Computing New Zealand, IVCNZ 2020, Wellington, New Zealand, November 25-27, 2020",IVCNZ 2020,35.0,,New Zealand,2020-11-25,2020-11-27,2020.0,,,Image and Vision Computing New Zealand,http://www.wikidata.org/entity/Q106243925,https://dblp.org/db/conf/ivcnz/ivcnz2020.html
"5th IEEE Symposium on Large Data Analysis and Visualization, LDAV 2015, Chicago, IL, USA, October 25-26, 2015",LDAV 2015,5.0,Chicago,United States of America,2015-10-25,2015-10-26,2015.0,,,IEEE Symposium on Large Data Analysis and Visualization,http://www.wikidata.org/entity/Q106243833,https://dblp.org/db/conf/ldav/ldav2015.html
"13th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2010, Carmona, Sevilla, Spain, 5-6 May 2010",ISORC 2010,13.0,,Spain,2010-05-05,2010-05-06,2010.0,,,IEEE International Symposium on Real-Time Distributed Computing,http://www.wikidata.org/entity/Q106243797,https://dblp.org/db/conf/isorc/isorc2010.html
"Component Deployment, Third International Working Conference, CD 2005, Grenoble, France, November 28-29, 2005",CD 2005,3.0,Grenoble,France,2005-11-28,2005-11-29,2005.0,,,IFIP/ACM Working Conference on Component Deployment,http://www.wikidata.org/entity/Q106243910,https://dblp.org/db/conf/cd/cd2005.html
"9. ITG-Fachtagung Sprachkommunikation 2010, Bochum, Germany, October 6-8, 2010",Sprachkommunikation 2010,9.0,,Germany,2010-10-06,2010-10-08,2010.0,,,IT Revolutions,http://www.wikidata.org/entity/Q106243915,https://dblp.org/db/conf/ITGspeech/ITGspeech2010.html
"10th International Conference on Advanced Infocomm Technology, ICAIT 2018, Stockholm, Sweden, August 12-15, 2018",ICAIT 2018,10.0,,Sweden,2018-08-12,2018-08-15,2018.0,,,International Conference on Advanced Infocomm Technology,http://www.wikidata.org/entity/Q106244070,https://dblp.org/db/conf/icait/icait2018.html
"Distributed Applications and Interoperable Systems - 18th IFIP WG 6.1 International Conference, DAIS 2018, Held as Part of the 13th International Federated Conference on Distributed Computing Techniques, DisCoTec 2018, Madrid, Spain, June 18-21, 2018",DAIS 2018,18.0,Madrid,Spain,2018-06-18,2018-06-21,2018.0,,,IFIP International Conference on Distributed Applications and Interoperable Systems,http://www.wikidata.org/entity/Q106243852,https://dblp.org/db/conf/dais/dais2018.html
"20th International Symposium on Quality Electronic Design, ISQED 2019, Santa Clara, CA, USA, March 6-7, 2019",ISQED 2019,20.0,Santa Clara,Cuba,2019-03-06,2019-03-07,2019.0,,,IEEE International Symposium on Quality Electronic Design,http://www.wikidata.org/entity/Q106243796,https://dblp.org/db/conf/isqed/isqed2019.html
"Tests and Proofs - 13th International Conference, TAP@FM 2019, Porto, Portugal, October 9-11, 2019",TAP@FM 2019,13.0,Porto,Portugal,2019-10-09,2019-10-11,2019.0,,,International Conference of Tests and Proofs,http://www.wikidata.org/entity/Q106244019,https://dblp.org/db/conf/tap/tap2019.html
"2018 International Conference on Image and Vision Computing New Zealand, IVCNZ 2018, Auckland, New Zealand, November 19-21, 2018",IVCNZ 2018,33.0,Auckland,New Zealand,2018-11-19,2018-11-21,2018.0,,,Image and Vision Computing New Zealand,http://www.wikidata.org/entity/Q106243930,https://dblp.org/db/conf/ivcnz/ivcnz2018.html
"Security and Privacy - Silver Linings in the Cloud - 25th IFIP TC-11 International Information Security Conference, SEC 2010, Held as Part of WCC 2010, Brisbane, Australia, September 20-23, 2010",SEC 2010,25.0,Brisbane,Australia,2010-09-20,2010-09-23,2010.0,,,IFIP International Information Security Conference,http://www.wikidata.org/entity/Q106243879,https://dblp.org/db/conf/sec/sec2010.html
"Personal Wireless Communications, IFIP TC6 9th International Conference, PWC 2004, Delft, The Netherlands, September 21-23, 2004",PWC 2004,9.0,Delft,Kingdom of the Netherlands,2004-09-21,2004-09-23,2004.0,,,IFIP International Conference on Personal Wireless Communications,http://www.wikidata.org/entity/Q106243872,https://dblp.org/db/conf/ifip6-8/pwc2004.html
"Intelligent Technologies for Interactive Entertainment, Third International Conference, INTETAIN 2009, Amsterdam, The Netherlands, June 22-24, 2009",INTETAIN 2009,3.0,Amsterdam,Kingdom of the Netherlands,2009-06-22,2009-06-24,2009.0,,,Intelligent Technologies for Interactive Entertainment,http://www.wikidata.org/entity/Q106243992,https://dblp.org/db/conf/intetain/intetain2009.html
"Rigorous State-Based Methods - 7th International Conference, ABZ 2020, Ulm, Germany, May 27-29, 2020",ABZ 2020,7.0,,Germany,2020-05-27,2020-05-29,2020.0,,,"International Conference on Abstract State Machines, Alloy, B, TLA, VDM, and Z",http://www.wikidata.org/entity/Q106244031,https://dblp.org/db/conf/asm/abz2020.html
"Web-Age Information Management - 13th International Conference, WAIM 2012, Harbin, China, August 18-20, 2012",WAIM 2012,13.0,,People's Republic of China,2012-08-18,2012-08-20,2012.0,,,Interational Conference on Web-Age Information Management,http://www.wikidata.org/entity/Q106243996,https://dblp.org/db/conf/waim/waim2012.html
"9th International ACM SIGACCESS Conference on Computers and Accessibility, ASSETS 2007, Tempe, Arizona, USA, October 15-17, 2007",ASSETS 2007,9.0,Tempe,United States of America,2007-10-15,2007-10-17,2007.0,,,International ACM SIGACCESS Conference on Computers and Accessibility,http://www.wikidata.org/entity/Q106244005,https://dblp.org/db/conf/assets/assets2007.html
"8th International ACM SIGACCESS Conference on Computers and Accessibility, ASSETS 2006, Portland, Oregon, USA, October 23-25, 2006",ASSETS 2006,8.0,Portland,United States of America,2006-10-23,2006-10-25,2006.0,,,International ACM SIGACCESS Conference on Computers and Accessibility,http://www.wikidata.org/entity/Q106244006,https://dblp.org/db/conf/assets/assets2006.html
"PICS 1998: IS&T's 1998 Image Processing, Image Quality, Image Capture, Systems Conference, Portland, Oregon, USA, May 17-20, 1998",PICS 1998,51.0,Portland,United States of America,1998-05-17,1998-05-20,1998.0,,,"Image Processing, Image Quality, Image Capture Systems Conference",http://www.wikidata.org/entity/Q106243924,https://dblp.org/db/conf/pics/pics1998.html
"2019 IEEE Non-Volatile Memory Systems and Applications Symposium, NVMSA 2019, Hangzhou, China, August 18-21, 2019",NVMSA 2019,8.0,Hangzhou,People's Republic of China,2019-08-18,2019-08-21,2019.0,,,IEEE Non-Volatile Memory System and Applications Symposium,http://www.wikidata.org/entity/Q106243826,https://dblp.org/db/conf/nvmsa/nvmsa2019.html
"ISSE 2015 - Highlights of the Information Security Solutions Europe 2015 Conference, Berlin, Germany, November 1-2, 2015",ISSE 2015,17.0,Berlin,Germany,2015-11-01,2015-11-02,2015.0,,,Information Security Solutions Europe,http://www.wikidata.org/entity/Q106243955,https://dblp.org/db/conf/isse/isse2015.html
"Distributed Applications and Interoperable Systems, 6th IFIP WG 6.1 International Conference, DAIS 2006, Bologna, Italy, June 14-16, 2006",DAIS 2006,6.0,Bologna,Italy,2006-06-14,2006-06-16,2006.0,,,IFIP International Conference on Distributed Applications and Interoperable Systems,http://www.wikidata.org/entity/Q106243857,https://dblp.org/db/conf/dais/dais2006.html
"Theoretical Aspects of Computing - ICTAC 2004, First International Colloquium, Guiyang, China, September 20-24, 2004",ICTAC 2004,1.0,,People's Republic of China,2004-09-20,2004-09-24,2004.0,,,International Colloquium on Theoretical Aspects of Computing,http://www.wikidata.org/entity/Q106244012,https://dblp.org/db/conf/ictac/ictac2004.html
"Distributed Applications and Interoperable Systems - 12th IFIP WG 6.1 International Conference, DAIS 2012, Stockholm, Sweden, June 13-16, 2012",DAIS 2012,12.0,,Sweden,2012-06-13,2012-06-16,2012.0,,,IFIP International Conference on Distributed Applications and Interoperable Systems,http://www.wikidata.org/entity/Q106243856,https://dblp.org/db/conf/dais/dais2012.html
"Games and Learning Alliance - 7th International Conference, GALA 2018, Palermo, Italy, December 5-7, 2018",GALA 2018,7.0,,Italy,2018-12-05,2018-12-07,2018.0,,,International Conference Games and Learning Alliance,http://www.wikidata.org/entity/Q106244013,https://dblp.org/db/conf/gala/gala2018.html
"2019 IEEE Latin-American Conference on Communications, LATINCOM 2019, Salvador, Brazil, November 11-13, 2019",LATINCOM 2019,11.0,Salvador,Brazil,2019-11-11,2019-11-13,2019.0,,,IEEE Latin-American Conference on Communications,http://www.wikidata.org/entity/Q106243825,https://dblp.org/db/conf/latincom/latincom2019.html
"Adaptive Hypermedia and Adaptive Web-Based Systems, Third International Conference, AH 2004, Eindhoven, The Netherlands, August 23-26, 2004",AH 2004,3.0,Eindhoven,Kingdom of the Netherlands,2004-08-23,2004-08-26,2004.0,,,International Conference on Adaptive Hypermedia and Adaptive Web-Based Systems,http://www.wikidata.org/entity/Q106244038,https://dblp.org/db/conf/ah/ah2004.html
